id;origem;destino;km;veiculo;ajudante;andares;elevador;cenario;base;vlr_ajud;vlr_elev;vlr_esc;total_pix;total_cartao;comissao_pegue;valor_prestador;rs_por_km
1;Osasco Centro;Presidente Altino;2;carro_comum;nao;0;nao;base;128;0;0;0;128;134;15;113;64.00
2;Osasco Centro;Presidente Altino;2;utilitario;nao;0;nao;base;150;0;0;0;150;157;18;132;75.00
3;Osasco Centro;Presidente Altino;2;hr;nao;0;nao;base;255;0;0;0;255;268;31;224;127.50
4;Osasco Centro;Presidente Altino;2;caminhao_bau;nao;0;nao;base;500;0;0;0;500;525;60;440;250.00
5;Vila Yara;Quitauna;3;carro_comum;nao;0;nao;base;170;0;0;0;170;178;20;150;56.67
6;Vila Yara;Quitauna;3;utilitario;nao;0;nao;base;200;0;0;0;200;210;24;176;66.67
7;Vila Yara;Quitauna;3;hr;nao;0;nao;base;340;0;0;0;340;357;41;299;113.33
8;Vila Yara;Quitauna;3;caminhao_bau;nao;0;nao;base;500;0;0;0;500;525;60;440;166.67
9;Bela Vista;Jardim das Flores;4;carro_comum;nao;0;nao;base;177;0;0;0;177;186;21;156;44.25
10;Bela Vista;Jardim das Flores;4;utilitario;nao;0;nao;base;208;0;0;0;208;218;25;183;52.00
11;Bela Vista;Jardim das Flores;4;hr;nao;0;nao;base;354;0;0;0;354;372;42;312;88.50
12;Bela Vista;Jardim das Flores;4;caminhao_bau;nao;0;nao;base;500;0;0;0;500;525;60;440;125.00
13;Rochdale;Munhoz Jr;5;carro_comum;nao;0;nao;base;183;0;0;0;183;192;22;161;36.60
14;Rochdale;Munhoz Jr;5;utilitario;nao;0;nao;base;215;0;0;0;215;226;26;189;43.00
15;Rochdale;Munhoz Jr;5;hr;nao;0;nao;base;366;0;0;0;366;384;44;322;73.20
16;Rochdale;Munhoz Jr;5;caminhao_bau;nao;0;nao;base;500;0;0;0;500;525;60;440;100.00
17;Osasco;Bonfiglioli;6;carro_comum;nao;0;nao;base;188;0;0;0;188;197;23;165;31.33
18;Osasco;Bonfiglioli;6;utilitario;nao;0;nao;base;221;0;0;0;221;232;27;194;36.83
19;Osasco;Bonfiglioli;6;hr;nao;0;nao;base;376;0;0;0;376;395;45;331;62.67
20;Osasco;Bonfiglioli;6;caminhao_bau;nao;0;nao;base;500;0;0;0;500;525;60;440;83.33
21;Vila Yara;Alphaville;8;carro_comum;nao;0;nao;base;198;0;0;0;198;208;24;174;24.75
22;Vila Yara;Alphaville;8;utilitario;nao;0;nao;base;233;0;0;0;233;245;28;205;29.13
23;Vila Yara;Alphaville;8;hr;nao;0;nao;base;396;0;0;0;396;416;48;348;49.50
24;Vila Yara;Alphaville;8;caminhao_bau;nao;0;nao;base;513;0;0;0;513;539;62;451;64.13
25;Osasco Centro;Lapa;10;carro_comum;nao;0;nao;base;207;0;0;0;207;217;25;182;20.70
26;Osasco Centro;Lapa;10;utilitario;nao;0;nao;base;243;0;0;0;243;255;29;214;24.30
27;Osasco Centro;Lapa;10;hr;nao;0;nao;base;413;0;0;0;413;434;50;363;41.30
28;Osasco Centro;Lapa;10;caminhao_bau;nao;0;nao;base;535;0;0;0;535;562;64;471;53.50
29;Presidente Altino;Butanta;12;carro_comum;nao;0;nao;base;214;0;0;0;214;225;26;188;17.83
30;Presidente Altino;Butanta;12;utilitario;nao;0;nao;base;252;0;0;0;252;265;30;222;21.00
31;Presidente Altino;Butanta;12;hr;nao;0;nao;base;428;0;0;0;428;449;51;377;35.67
32;Presidente Altino;Butanta;12;caminhao_bau;nao;0;nao;base;554;0;0;0;554;582;66;488;46.17
33;Osasco;Pinheiros;14;carro_comum;nao;0;nao;base;221;0;0;0;221;232;27;194;15.79
34;Osasco;Pinheiros;14;utilitario;nao;0;nao;base;260;0;0;0;260;273;31;229;18.57
35;Osasco;Pinheiros;14;hr;nao;0;nao;base;442;0;0;0;442;464;53;389;31.57
36;Osasco;Pinheiros;14;caminhao_bau;nao;0;nao;base;572;0;0;0;572;600;69;503;40.86
37;Barueri;Osasco;15;carro_comum;nao;0;nao;base;224;0;0;0;224;235;27;197;14.93
38;Barueri;Osasco;15;utilitario;nao;0;nao;base;264;0;0;0;264;277;32;232;17.60
39;Barueri;Osasco;15;hr;nao;0;nao;base;449;0;0;0;449;471;54;395;29.93
40;Barueri;Osasco;15;caminhao_bau;nao;0;nao;base;581;0;0;0;581;610;70;511;38.73
41;Osasco;Agua Branca;16;carro_comum;nao;0;nao;base;228;0;0;0;228;239;27;201;14.25
42;Osasco;Agua Branca;16;utilitario;nao;0;nao;base;268;0;0;0;268;281;32;236;16.75
43;Osasco;Agua Branca;16;hr;nao;0;nao;base;456;0;0;0;456;479;55;401;28.50
44;Osasco;Agua Branca;16;caminhao_bau;nao;0;nao;base;590;0;0;0;590;619;71;519;36.88
45;Osasco;Sao Miguel;18;carro_comum;nao;0;nao;base;234;0;0;0;234;246;28;206;13.00
46;Osasco;Sao Miguel;18;utilitario;nao;0;nao;base;275;0;0;0;275;289;33;242;15.28
47;Osasco;Sao Miguel;18;hr;nao;0;nao;base;468;0;0;0;468;491;56;412;26.00
48;Osasco;Sao Miguel;18;caminhao_bau;nao;0;nao;base;605;0;0;0;605;635;73;532;33.61
49;Osasco;Casa Verde;20;carro_comum;nao;0;nao;base;240;0;0;0;240;252;29;211;12.00
50;Osasco;Casa Verde;20;utilitario;nao;0;nao;base;282;0;0;0;282;296;34;248;14.10
