id,origem,destino,km,veiculo,base,total_pix,total_cartao,comissao_pegue,valor_prestador,rs_por_km
1,Osasco,Carapicuiba,7,utilitario,227,227,238,27,200,32.43
2,Osasco,Carapicuiba,7,hr,386,386,405,46,340,55.14
3,Osasco,Carapicuiba,7,caminhao_bau,500,500,525,60,440,71.43
4,Osasco,Jandira,9,utilitario,238,238,250,29,209,26.44
5,Osasco,Jandira,9,hr,405,405,425,49,356,45.00
6,Osasco,Jandira,9,caminhao_bau,524,524,550,63,461,58.22
7,Osasco,Itapevi,13,utilitario,256,256,269,31,225,19.69
8,Osasco,Itapevi,13,hr,435,435,457,52,383,33.46
9,Osasco,Itapevi,13,caminhao_bau,563,563,591,68,495,43.31
10,Osasco,Tabao da Serra,11,utilitario,247,247,259,30,217,22.45
11,Osasco,Tabao da Serra,11,hr,420,420,441,50,370,38.18
12,Osasco,Tabao da Serra,11,caminhao_bau,543,543,570,65,478,49.36
13,Osasco,Embu das Artes,17,utilitario,272,272,286,33,239,16.00
14,Osasco,Embu das Artes,17,hr,462,462,485,55,407,27.18
15,Osasco,Embu das Artes,17,caminhao_bau,598,598,628,72,526,35.18
16,Carapicuiba,Barueri,5,utilitario,215,215,226,26,189,43.00
17,Carapicuiba,Barueri,5,hr,366,366,384,44,322,73.20
18,Carapicuiba,Barueri,5,caminhao_bau,500,500,525,60,440,100.00
19,Barueri,Cotia,15,utilitario,264,264,277,32,232,17.60
20,Barueri,Cotia,15,hr,449,449,471,54,395,29.93
21,Barueri,Cotia,15,caminhao_bau,581,581,610,70,511,38.73
22,Osasco,Perdizes,11,utilitario,247,247,259,30,217,22.45
23,Osasco,Perdizes,11,hr,420,420,441,50,370,38.18
24,Osasco,Perdizes,11,caminhao_bau,543,543,570,65,478,49.36
25,Osasco,Vila Sonia,10,utilitario,243,243,255,29,214,24.30
26,Osasco,Vila Sonia,10,hr,413,413,434,50,363,41.30
27,Osasco,Vila Sonia,10,caminhao_bau,535,535,562,64,471,53.50
28,Osasco,Campo Limpo,16,utilitario,268,268,281,32,236,16.75
29,Osasco,Campo Limpo,16,hr,456,456,479,55,401,28.50
30,Osasco,Campo Limpo,16,caminhao_bau,590,590,619,71,519,36.88
31,Osasco,Capao Redondo,19,utilitario,279,279,293,33,246,14.68
32,Osasco,Capao Redondo,19,hr,474,474,498,57,417,24.95
33,Osasco,Capao Redondo,19,caminhao_bau,614,614,645,74,540,32.32
34,Osasco,Mooca,20,utilitario,282,282,296,34,248,14.10
35,Osasco,Mooca,20,hr,479,479,503,57,422,23.95
36,Osasco,Mooca,20,caminhao_bau,620,620,651,74,546,31.00
37,Osasco,Penha,26,utilitario,301,301,316,36,265,11.58
38,Osasco,Penha,26,hr,512,512,537,61,451,19.69
39,Osasco,Penha,26,caminhao_bau,662,662,695,79,583,25.46
40,Osasco,Sao Mateus,36,utilitario,328,328,344,39,289,9.11
41,Osasco,Sao Mateus,36,hr,558,558,586,67,491,15.50
42,Osasco,Sao Mateus,36,caminhao_bau,722,722,758,87,635,20.06
43,Osasco,Cidade Tiradentes,48,utilitario,356,356,374,43,313,7.42
44,Osasco,Cidade Tiradentes,48,hr,605,605,635,73,532,12.60
45,Osasco,Cidade Tiradentes,48,caminhao_bau,783,783,822,94,689,16.31
46,Osasco,Interlagos,30,utilitario,312,312,328,37,275,10.40
47,Osasco,Interlagos,30,hr,530,530,556,64,466,17.67
48,Osasco,Interlagos,30,caminhao_bau,686,686,720,82,604,22.87
49,Osasco,Grajau,33,utilitario,320,320,336,38,282,9.70
50,Osasco,Grajau,33,hr,544,544,571,65,479,16.48
51,Osasco,Grajau,33,caminhao_bau,704,704,739,84,620,21.33
52,Osasco,Jardim Angela,28,utilitario,307,307,322,37,270,10.96
53,Osasco,Jardim Angela,28,hr,522,522,548,63,459,18.64
54,Osasco,Jardim Angela,28,caminhao_bau,675,675,709,81,594,24.11
55,Osasco,Sao Caetano,32,utilitario,318,318,334,38,280,9.94
56,Osasco,Sao Caetano,32,hr,541,541,568,65,476,16.91
57,Osasco,Sao Caetano,32,caminhao_bau,700,700,735,84,616,21.88
58,Osasco,Diadema,38,utilitario,333,333,350,40,293,8.76
59,Osasco,Diadema,38,hr,566,566,594,68,498,14.89
60,Osasco,Diadema,38,caminhao_bau,733,733,770,88,645,19.29
61,Osasco,Ribeirao Pires,52,utilitario,364,364,382,44,320,7.00
62,Osasco,Ribeirao Pires,52,hr,619,619,650,74,545,11.90
63,Osasco,Ribeirao Pires,52,caminhao_bau,801,801,841,96,705,15.40
64,Osasco,Tucuruvi,22,utilitario,289,289,303,35,254,13.14
65,Osasco,Tucuruvi,22,hr,491,491,515,59,432,22.32
66,Osasco,Tucuruvi,22,caminhao_bau,636,636,668,76,560,28.91
